Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
SLC38A7|55238,306.7055,236.7873,273.0644,370.8685,301.3002,237.1976,272.8758,109.9594,236.7415,400.6623,579.4393,244.3612,100.934,258.8343,383.0508,196.6942,343.8114,311.5512,125.0163,473.3847
SLC38A8|146167,0,0,0,0,1.6959,0,0.5447,0,0,0,0,0,0,0,0,0.551,0.4912,0,0,0
SLC38A9|153129,139.3586,182.2722,202.1326,161.9285,237.9876,463.9229,754.3573,198.2875,313.882,194.0397,123.2755,106.1644,122.5627,153.7402,329.2978,264.4628,334.4794,174.9175,332.8558,162.7051
SLC39A10|57181,293.2945,744.4861,304.1261,597.8534,738.2702,1975.5995,616.5577,386.6607,484.123,274.1722,603.0263,318.4932,155.3334,337.3107,1037.7724,199.449,274.0668,530.033,3546.2951,457.9846
SLC39A11|201266,1082.7988,915.9384,784.4228,1592.6928,1270.2092,502.6704,637.7996,766.1109,628.4289,782.7815,1200.267,1426.3553,814.6813,1044.5158,986.9249,1155.3719,1343.3202,773.5974,1435.0827,809.1731
SLC39A12|221074,0,0.4161,0,0,0,0.5236,0.5447,0,0,0,0,0,1.3108,0,0,0.551,0,0,0,0.6696
SLC39A13|91252,499.1254,823.97,1056.0964,480.0872,824.1945,635.1922,1069.1721,653.4475,461.5129,470.8609,663.1064,498.7896,1053.9079,860.9454,421.7918,795.5923,1272.5933,1772.9373,1201.1981,1112.1527
SLC39A14|23516,734.6939,352.4761,332.8697,677.1556,431.8824,781.2336,661.22,1140.1532,418.2876,186.755,257.2319,127.6718,168.4417,312.5287,420.8232,300.8264,1777.0138,513.5314,630.2904,2606.9635
SLC39A1|27173,4085.7143,2244.278,2814.5573,3981.2571,3161.108,3666.3525,3933.5512,2366.8319,4061.1804,3544.3709,2134.8465,1812.5741,3995.4121,2936.2093,4000,3215.978,4810.4126,2690.429,3740.5912,4275.8621
SLC39A2|29986,4.0816,26.6334,82.522,18.0448,7.9141,74.877,69.7168,4.5065,33.9152,54.3046,0.445,48.0485,110.7652,8.2607,188.3777,17.0799,217.0923,29.703,5.209,37.161
SLC39A3|29985,457.7259,583.4374,473.8062,668.6081,739.4008,521.5206,986.3834,566.0207,535.3283,975.4967,904.3169,701.5087,951.0077,447.9119,581.1138,479.8898,422.888,935.9736,1687.7198,631.4027
SLC39A4|55630,444.898,682.4802,503.9407,379.4161,923.6857,606.3462,472.2222,770.6174,509.3932,576.1589,534.9355,532.6524,824.5125,388.2515,973.3656,812.1212,714.1454,837.6238,3674.9577,181.7877
SLC39A5|283375,0,4.1615,0.4636,1.4246,5.0876,577.0238,1.634,0,1.33,4.6358,1.3351,3.6608,0.6554,0,1.4528,0.551,0,0.6601,0.5209,1.0044
SLC39A6|25800,2411.0787,3895.5472,2353.732,2575.1858,4625.212,686.4593,1234.2048,3591.708,3061.6791,5067.5497,2246.1059,4393.4672,391.283,4866.9114,13821.7918,2316.8044,2187.6228,1328.7129,2239.3541,2495.8152
SLC39A7|7922,4237.9009,5919.6837,6669.4483,5478.9772,5017.524,3981.5688,7404.6841,6586.7508,3777.2236,7635.0993,2432.5768,5596.5112,8378.8301,3643.8733,5492.4939,5150.9642,3142.4361,3693.0693,2307.0712,3737.1945
SLC39A8|64116,251.312,153.9742,107.0932,378.9412,331.8259,469.6827,267.4292,562.4155,332.5021,432.4503,148.1976,75.0472,880.8783,272.1432,393.2203,1320.1102,498.0354,85.1485,10150.28,877.469
SLC39A9|55334,1229.1545,1473.5747,2289.7543,1446.4348,864.3301,1482.8778,1296.841,1123.0284,1834.0815,1155.6291,1651.9804,2023.0725,667.8683,2367.1409,1584.5036,1228.6501,1245.0884,1953.1353,1403.3077,1416.4714
SLC3A1|6519,1.7493,4.1615,0.4636,6.7858,26.6309,8.6658,4.902,4.5065,4.655,0.9735,4.7664,1.8304,0.6554,2.7536,4.3584,1.6529,2.9273,5.2805,10.5847,2.7586
SLC3A2|6520,8770.8455,1524.3446,2178.4886,2967.4232,3343.697,5470.2063,1494.5534,2701.2168,1964.4223,2416.5563,2566.0881,2084.3915,45297.7224,4251.9504,4342.8571,1357.0248,3702.3576,5563.0363,3686.9384,4435.5541
SLC40A1|30061,748.105,799.4174,438.1085,649.1387,414.9237,615.2477,562.6362,2450.6534,3755.2785,826.4901,1108.5892,750.4725,300.1802,769.6191,374.8184,528.9256,120.8251,774.9175,210.965,563.7764
SLC41A1|254428,711.9534,1784.4361,464.0705,807.7431,730.3561,1350.9268,1324.6187,1664.7138,462.8429,943.7086,1864.2635,466.7573,357.2014,782.9279,2492.4939,317.9063,2519.6464,545.2145,631.3322,941.078
SLC41A2|84102,120.6997,22.0558,105.7024,17.57,54.8332,326.2122,101.3072,82.0189,11.3051,498.0132,109.9243,258.0893,140.2589,36.2552,18.4019,9.3664,195.4813,97.6898,144.8105,209.24
SLC41A3|54946,805.8309,1252.1848,1741.3074,1155.3433,1042.9621,1362.4463,1388.3442,883.2808,993.5162,586.0927,932.3543,1793.3547,1269.5396,907.2969,785.9564,1402.2039,1111.9843,1330.033,1383.5135,622.6984
SLC43A1|8501,155.6851,66.5834,44.9699,37.5142,49.1803,72.7825,196.6231,299.2339,45.2203,60.2649,311.0814,17.389,127.806,11.0142,87.1671,12.1212,57.9568,27.0627,889.6992,98.4265
SLC43A2|124935,460.0583,898.4603,1147.427,216.5378,332.9565,960.8336,783.2244,744.4795,434.2477,468.2119,1445.9279,401.7773,709.1594,1225.7916,1656.1743,96.4187,178.2908,1401.9802,790.728,929.6953
SLC43A3|29015,531.1953,102.7882,118.6834,283.0188,219.333,395.3294,171.5686,699.3511,242.0615,468.8742,1215.8433,105.2492,555.1368,89.4906,365.6174,76.0331,946.4637,174.2574,437.557,612.3201
SLC44A1|23446,2218.0758,1605.077,3360.2225,1893.7564,1877.3318,3278.3538,1761.9826,1760.2524,2197.8387,2801.3245,2040.9435,1442.8291,1864.6567,1901.7898,5985.9564,2946.0055,4076.6208,1600.6601,7919.2603,3393.7061
